               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.049066,             0.11624,                   0,             0.92965,             0.86146,             0.93712,              0.5035,            0.040377,            0.095338,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.048471,             0.11376,                   0,             0.93806,             0.84583,             0.93698,              0.5088,            0.040079,             0.09565,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.050055,             0.10492,                   0,             0.92919,             0.86119,             0.94194,             0.49248,            0.040887,            0.095379,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.048814,             0.11039,                   0,             0.92879,             0.86979,             0.94086,             0.50171,            0.040339,            0.096102,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.050072,             0.11457,                   0,             0.92792,             0.87161,             0.94127,             0.50519,            0.040824,            0.095238,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.050619,             0.11676,                   0,             0.93519,             0.87181,             0.94693,             0.49845,            0.040319,            0.095502,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.047775,             0.10925,                   0,             0.94598,             0.84375,             0.93644,             0.49198,            0.040535,            0.095359,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.048705,              0.1117,                   0,             0.93467,             0.86562,              0.9424,             0.51212,            0.039717,            0.093949,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.049366,             0.10743,                   0,             0.92994,             0.86146,             0.93823,             0.48765,            0.040796,            0.094928,                   0,            0.003004,            0.003004,            0.003004
                 108,             0.04857,             0.11148,                   0,             0.93431,              0.8625,             0.94236,             0.50634,            0.039623,            0.094426,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.048644,             0.11041,                   0,             0.93948,             0.85703,             0.93846,             0.50329,             0.03987,            0.094238,                   0,            0.002872,            0.002872,            0.002872
                 110,             0.04814,             0.10998,                   0,             0.94034,              0.8538,             0.93976,             0.49797,            0.040251,            0.094966,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.048228,             0.10658,                   0,             0.92649,             0.85332,             0.93573,             0.49225,             0.04093,            0.095471,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.050079,             0.11481,                   0,             0.93366,             0.86979,             0.93997,             0.51249,            0.039381,            0.093738,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.048772,             0.11291,                   0,             0.94439,             0.85104,             0.93934,             0.50428,            0.040399,            0.094494,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.048084,             0.10769,                   0,             0.94134,             0.85246,              0.9405,             0.51119,            0.039536,            0.093541,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.046953,             0.11118,                   0,             0.94592,             0.86042,             0.94335,             0.51892,            0.039004,            0.093716,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.046095,             0.10797,                   0,             0.94051,             0.85729,             0.94159,             0.51351,            0.039401,            0.093477,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.046939,             0.10372,                   0,             0.92809,             0.85625,             0.94031,             0.49593,            0.040018,             0.09418,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.048328,             0.10949,                   0,             0.93954,             0.85793,             0.94119,             0.51963,            0.038832,            0.093027,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.046824,             0.10718,                   0,             0.93535,             0.85906,              0.9408,             0.51354,            0.039023,            0.093583,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.047417,             0.11359,                   0,             0.93783,             0.86419,             0.94459,             0.51383,            0.039182,            0.093428,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.047756,             0.10616,                   0,             0.93775,             0.85208,             0.94084,             0.51531,            0.039084,            0.093755,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.048047,             0.11136,                   0,             0.94354,             0.85295,             0.94262,              0.5187,            0.038827,            0.093265,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.047886,             0.10771,                   0,             0.93699,             0.85197,             0.94194,             0.51724,            0.038745,            0.092848,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.047379,             0.11175,                   0,             0.94079,             0.86073,             0.94084,             0.51671,            0.038469,            0.092865,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.046585,             0.11357,                   0,             0.92364,             0.86667,             0.93885,             0.51431,            0.038508,            0.092857,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.046139,             0.10981,                   0,             0.92957,              0.8799,              0.9449,              0.5166,            0.038792,              0.0927,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.046091,             0.10877,                   0,             0.92859,             0.88043,             0.94106,             0.51861,            0.038626,            0.092497,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.046995,             0.10466,                   0,              0.9395,             0.87347,             0.94728,             0.52004,            0.038505,            0.092459,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.046925,             0.11229,                   0,             0.93505,             0.87917,             0.94595,             0.51828,            0.038332,            0.092042,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.047042,             0.11259,                   0,             0.94055,             0.87347,             0.94363,             0.51956,            0.038339,            0.091905,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.047057,             0.10975,                   0,             0.94006,             0.87187,             0.94667,             0.52125,            0.038333,            0.091903,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.047105,             0.11096,                   0,             0.93586,             0.86637,             0.94252,             0.51703,            0.038777,            0.092123,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.046275,             0.10952,                   0,             0.93837,             0.87225,             0.94504,             0.51901,            0.038343,            0.091941,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.045416,             0.10578,                   0,             0.93518,              0.8716,             0.94468,             0.52225,            0.038371,             0.09163,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.046358,              0.1092,                   0,             0.93831,             0.86667,             0.94486,              0.5203,            0.038352,            0.091623,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.045347,             0.10068,                   0,              0.9311,             0.87282,              0.9457,             0.52092,            0.038302,            0.091855,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.046666,             0.10868,                   0,             0.93408,             0.87396,             0.94729,             0.52098,            0.038524,            0.092157,                   0,            0.001024,            0.001024,            0.001024
                 138,             0.04653,             0.11452,                   0,             0.93931,             0.87396,             0.94593,             0.52165,            0.038405,            0.092007,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.047354,             0.11079,                   0,             0.93718,               0.875,             0.94856,             0.52644,            0.038209,            0.091913,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.047281,              0.1066,                   0,             0.94011,             0.86655,             0.94504,             0.52414,            0.038193,            0.091899,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.045831,             0.10768,                   0,             0.94291,             0.86028,              0.9441,             0.52172,            0.038374,            0.092072,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.046892,             0.11579,                   0,             0.94276,             0.85785,             0.94261,              0.5212,            0.038277,            0.092002,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.046615,             0.11081,                   0,             0.94086,             0.86166,             0.94326,              0.5233,            0.038048,            0.091879,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.046848,             0.11374,                   0,              0.9306,             0.87396,              0.9461,             0.51984,             0.03812,            0.091942,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.047336,             0.10781,                   0,             0.93632,             0.87306,             0.94868,             0.51822,            0.038194,            0.092044,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.046613,             0.11128,                   0,             0.93465,               0.879,             0.94865,             0.51707,            0.038211,            0.092204,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.046598,             0.10726,                   0,              0.9349,             0.87604,             0.94569,             0.51887,            0.038144,            0.092114,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.046578,             0.10928,                   0,             0.94142,             0.87055,             0.94412,             0.52137,            0.038084,            0.092041,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.046012,             0.10954,                   0,             0.93632,             0.87309,             0.94524,             0.52078,             0.03806,            0.091926,                   0,            0.000232,            0.000232,            0.000232
